date,real_close,0
108/12/05,420.0,437.9375
108/12/06,415.0,438.39447
108/12/09,426.5,436.3308
108/12/10,425.0,444.36676
108/12/11,429.0,438.64383
108/12/12,427.5,442.90826
108/12/13,432.5,450.21616
108/12/16,442.0,450.5445
108/12/17,460.5,456.2199
108/12/18,456.5,472.01102
108/12/19,454.5,474.20825
108/12/20,446.0,473.58783
108/12/23,449.0,477.79803
108/12/24,445.0,466.59116
108/12/25,452.0,460.0271
108/12/26,449.0,459.2989
108/12/27,446.5,464.86725
108/12/30,446.5,463.9251
108/12/31,443.5,462.03098
109/01/02,441.5,463.47122
109/01/03,434.5,462.66995
109/01/06,424.0,463.8064
109/01/07,426.0,453.742
109/01/08,430.5,451.96783
109/01/09,437.0,449.21814
109/01/10,432.0,448.6182
109/01/13,422.0,449.62653
109/01/14,416.0,449.84406
109/01/15,416.0,455.8521
109/01/16,421.0,459.43472
109/01/17,420.5,444.87827
109/01/20,419.0,438.73187
109/01/30,383.5,434.6161
109/01/31,388.0,439.70917
109/02/03,382.0,419.42462
109/02/04,390.5,410.2749
109/02/05,381.0,407.69434
109/02/06,382.0,413.2243
109/02/07,381.0,406.0866
109/02/10,380.0,404.22668
109/02/11,390.0,403.96832
109/02/12,401.5,406.94565
109/02/13,408.5,416.91418
109/02/14,405.5,428.5302
109/02/17,398.0,424.76794
109/02/18,392.0,421.81198
109/02/19,388.5,416.4704
109/02/20,394.0,414.88263
109/02/21,388.0,413.0379
109/02/24,377.0,410.96185
109/02/25,378.5,411.61023
109/02/26,375.0,404.34985
109/02/27,360.0,401.81116
109/03/02,363.0,399.7401
109/03/03,372.0,390.71802
109/03/04,370.5,390.10724
109/03/05,385.0,391.36365
109/03/06,378.5,397.38077
109/03/09,366.5,395.75528
109/03/10,373.5,396.34058
109/03/11,363.0,395.2242
109/03/12,336.0,390.4204
109/03/13,341.0,389.86517
109/03/16,320.0,380.6768
109/03/17,315.5,358.18298
109/03/18,301.5,350.40158
109/03/19,274.0,341.30975
109/03/20,301.0,338.4143
109/03/23,308.0,325.34064
109/03/24,330.0,333.138
109/03/25,334.5,335.97153
109/03/26,343.5,357.90234
109/03/27,340.0,355.1817
109/03/30,336.5,364.12952
109/03/31,327.5,361.3616
109/04/01,334.0,359.64282
109/04/06,341.0,353.69714
109/04/07,347.0,358.65408
109/04/08,349.5,366.55194
109/04/09,351.5,366.4737
109/04/10,350.0,370.84027
109/04/13,351.5,370.53137
109/04/14,365.5,372.09515
109/04/15,365.5,383.90198
109/04/16,361.5,383.13535
109/04/17,368.0,381.70862
109/04/20,370.0,392.11896
109/04/21,353.5,386.4018
109/04/22,346.0,387.90076
109/04/23,351.0,381.28052
109/04/24,348.5,373.52625
109/04/27,372.0,368.719
109/04/28,375.0,382.95087
109/04/29,398.0,386.9813
109/04/30,415.0,428.11664
109/05/04,399.5,434.48636
109/05/05,401.5,424.6919
109/05/06,408.0,418.7041
109/05/07,411.0,424.97757
109/05/08,411.5,427.58038
109/05/11,410.0,429.5644
109/05/12,407.0,429.9994
109/05/13,420.0,427.3741
109/05/14,411.0,436.7096
109/05/15,411.0,433.5385
109/05/18,440.5,429.44498
109/05/19,462.0,467.62613
109/05/20,470.0,484.80325
109/05/21,464.5,491.97827
109/05/22,442.0,484.01257
109/05/25,460.0,481.37762
109/05/26,460.0,476.95782
109/05/27,464.5,473.77048
109/05/28,460.0,479.0495
109/05/29,463.0,482.51877
109/06/01,461.5,482.77548
109/06/02,485.0,482.79132
109/06/03,490.0,502.30472
109/06/04,490.0,503.56418
109/06/05,494.0,504.69357
109/06/08,494.5,509.10068
109/06/09,497.5,513.4518
109/06/10,500.0,512.5171
109/06/11,496.5,512.99756
109/06/12,492.5,519.9728
109/06/15,492.5,517.05774
109/06/16,510.0,510.97342
109/06/17,510.0,518.5656
109/06/18,513.0,519.87805
109/06/19,546.0,521.97986
109/06/22,576.0,556.6825
109/06/23,574.0,576.3338
109/06/24,580.0,589.0637
109/06/29,565.0,589.64844
109/06/30,579.0,591.4522
109/07/01,577.0,591.6422
109/07/02,574.0,592.52423
109/07/03,585.0,590.08453
109/07/06,589.0,595.2483
109/07/07,618.0,597.6396
109/07/08,661.0,627.1322
109/07/09,651.0,662.8043
109/07/10,616.0,671.3007
109/07/13,629.0,662.3509
109/07/14,611.0,651.176
109/07/15,609.0,639.2959
109/07/16,599.0,636.05426
109/07/17,607.0,622.8063
109/07/20,601.0,619.65283
109/07/21,637.0,616.7653
109/07/22,664.0,637.72833
109/07/23,677.0,667.16956
109/07/24,675.0,685.744
109/07/27,728.0,705.9546
109/07/28,680.0,729.3185
109/07/29,682.0,748.5026
109/07/30,683.0,724.5101
109/07/31,701.0,710.1491
109/08/03,696.0,709.5376
109/08/04,732.0,731.4957
109/08/05,730.0,739.87573
109/08/06,732.0,742.9055
109/08/07,705.0,748.3221
109/08/10,706.0,740.92975
109/08/11,693.0,730.0081
109/08/12,680.0,718.7311
109/08/13,684.0,705.9956
109/08/14,680.0,702.9459
109/08/17,685.0,696.0436
109/08/18,617.0,692.0754
109/08/19,609.0,694.713
109/08/20,565.0,669.0078
109/08/21,604.0,642.9941
109/08/24,585.0,629.42035
109/08/25,589.0,615.2445
109/08/26,578.0,605.55884
109/08/27,558.0,598.9766
109/08/28,574.0,594.9237
109/08/31,556.0,590.8698
109/09/01,576.0,592.1039
109/09/02,596.0,587.6998
109/09/03,603.0,610.5112
109/09/04,603.0,619.04565
109/09/07,598.0,619.8723
109/09/08,604.0,614.2556
109/09/09,595.0,614.4147
109/09/10,599.0,615.23413
109/09/11,595.0,613.876
109/09/14,609.0,611.20514
109/09/15,611.0,614.30884
109/09/16,617.0,619.1554
109/09/17,599.0,630.11395
109/09/18,611.0,627.6625
109/09/21,616.0,626.3695
109/09/22,603.0,626.4223
109/09/23,617.0,623.006
109/09/24,600.0,623.567
109/09/25,585.0,622.284
109/09/28,603.0,615.70764
109/09/29,610.0,614.1821
109/09/30,607.0,616.6002
109/10/05,611.0,619.2782
109/10/06,615.0,620.75555
109/10/07,647.0,622.38965
109/10/08,670.0,649.37427
109/10/12,714.0,672.7279
109/10/13,699.0,717.2574
109/10/14,689.0,715.07074
109/10/15,689.0,707.9874
109/10/16,680.0,705.5354
109/10/19,692.0,698.14514
109/10/20,697.0,696.1691
109/10/21,691.0,698.6207
109/10/22,688.0,701.3539
109/10/23,678.0,700.96924
109/10/26,674.0,696.3949
109/10/27,685.0,690.14844
109/10/28,681.0,692.307
109/10/29,684.0,692.4754
109/10/30,678.0,688.93787
109/11/02,653.0,689.36
109/11/03,665.0,688.52747
109/11/04,677.0,679.7431
109/11/05,696.0,683.35516
109/11/06,700.0,698.29175
109/11/09,702.0,704.9204
109/11/10,686.0,709.9014
109/11/11,676.0,704.5157
109/11/12,673.0,695.68805
109/11/13,675.0,688.6379
109/11/16,694.0,684.45435
109/11/17,696.0,691.4198
109/11/18,728.0,700.0688
109/11/19,733.0,730.6035
109/11/20,747.0,739.94116
109/11/23,743.0,750.369
109/11/24,742.0,752.6915
109/11/25,724.0,751.57983
109/11/26,730.0,745.641
109/11/27,725.0,740.4049
109/11/30,704.0,734.5105
109/12/01,697.0,734.263
109/12/02,712.0,720.9137
109/12/03,700.0,720.0824
109/12/04,705.0,715.6323
109/12/07,704.0,712.28625
109/12/08,730.0,710.97534
109/12/09,734.0,723.37286
109/12/10,709.0,736.4134
109/12/11,707.0,731.3108
109/12/14,702.0,727.3369
109/12/15,701.0,717.78253
109/12/16,701.0,712.4702
109/12/17,704.0,714.08563
109/12/18,699.0,715.0701
109/12/21,708.0,712.48444
109/12/22,703.0,711.3275
109/12/23,720.0,714.51025
109/12/24,714.0,719.0378
109/12/25,715.0,720.8259
109/12/28,740.0,720.755
109/12/29,734.0,737.1864
109/12/30,746.0,741.516
109/12/31,747.0,747.31934
110/01/04,792.0,752.22644
110/01/05,797.0,778.2239
110/01/06,792.0,794.5476
110/01/07,799.0,802.68494
110/01/08,838.0,807.26044
110/01/11,851.0,827.7504
110/01/12,846.0,844.898
110/01/13,884.0,855.8086
110/01/14,861.0,880.3431
110/01/15,850.0,877.80414
110/01/18,844.0,869.74664
110/01/19,879.0,855.1222
110/01/20,872.0,867.2053
110/01/21,934.0,879.3757
110/01/22,917.0,912.3721
110/01/25,910.0,929.6706
110/01/26,871.0,925.77844
110/01/27,897.0,898.81104
110/01/28,869.0,903.11707
110/01/29,875.0,894.04266
110/02/01,905.0,903.05475
