date,dividend,PE,netWorth,volume,price,open,high,low,close,diff,times,result
108/10/30,4.10,57.60,0.84,61233781,885600779,14.70,14.70,14.35,14.40,-0.10,7060,0
108/10/31,4.21,38.89,0.80,97117355,1363476570,14.35,14.35,13.90,14.00,-0.40,11687,0
108/11/01,4.07,40.28,0.83,93849456,1357036363,14.15,14.55,14.10,14.50,+0.50,12214,1
108/11/04,4.03,40.69,0.84,94378432,1386658148,14.50,14.80,14.50,14.65,+0.15,11841,1
108/11/05,4.07,40.28,0.83,53488139,774847663,14.65,14.70,14.40,14.50,-0.15,6889,0
108/11/06,4.07,40.28,0.83,52059086,750144064,14.55,14.55,14.30,14.50,0.00,6960,0
108/11/07,4.14,39.58,0.82,44219482,633019371,14.50,14.55,14.20,14.25,-0.25,7373,0
108/11/08,4.14,39.58,0.82,24415232,348285639,14.35,14.40,14.20,14.25,0.00,4919,0
108/11/11,4.14,39.58,0.82,31160053,443395364,14.30,14.35,14.15,14.25,0.00,4947,0
108/11/12,4.13,39.72,0.82,35026594,500193925,14.30,14.35,14.20,14.30,+0.05,4589,1
108/11/13,4.15,39.44,0.81,32373797,461724826,14.30,14.40,14.20,14.20,-0.10,5096,0
108/11/14,4.07,40.28,0.83,57937985,835243303,14.20,14.60,14.20,14.50,+0.30,6923,1
108/11/15,4.13,39.72,0.82,39855904,574157552,14.60,14.60,14.25,14.30,-0.20,7755,0
108/11/18,4.07,40.28,0.83,58847717,858254179,14.60,14.75,14.45,14.50,+0.20,8329,1
108/11/19,4.05,40.42,0.83,37821445,548722985,14.45,14.60,14.35,14.55,+0.05,3903,1
108/11/20,4.00,40.97,0.84,55131343,806644854,14.55,14.80,14.45,14.75,+0.20,7342,1
108/11/21,4.03,40.69,0.84,42654446,621736481,14.60,14.65,14.45,14.65,-0.10,4725,0
108/11/22,4.04,40.56,0.84,30220829,441303879,14.65,14.70,14.50,14.60,-0.05,3383,0
108/11/25,3.93,41.67,0.86,166478115,2515484457,14.65,15.50,14.65,15.00,+0.40,20094,1
108/11/26,3.88,42.22,0.87,165216747,2517449820,15.25,15.40,15.10,15.20,+0.20,14262,1
108/11/27,3.88,42.22,0.87,41376514,630315809,15.35,15.40,15.10,15.20,0.00,6844,0
108/11/28,3.91,41.94,0.86,34136945,516756125,15.25,15.30,15.05,15.10,-0.10,4868,0
108/11/29,3.95,41.53,0.86,45681866,682888731,15.10,15.15,14.85,14.95,-0.15,5354,0
108/12/02,3.91,41.94,0.86,63994877,968594730,15.00,15.30,15.00,15.10,+0.15,10766,1
108/12/03,3.84,42.64,0.88,51943907,792401262,15.05,15.35,15.05,15.35,+0.25,6768,1
108/12/04,3.72,44.03,0.91,190321503,2991901353,15.40,15.95,15.40,15.85,+0.50,23609,1
108/12/05,3.56,45.97,0.95,228294147,3729465586,16.05,16.70,16.05,16.55,+0.70,32300,1
108/12/06,3.64,45.00,0.93,109731919,1783550771,16.50,16.50,16.10,16.20,-0.35,16683,0
108/12/09,3.63,45.14,0.93,68335244,1121353675,16.40,16.55,16.25,16.25,+0.05,10617,1
108/12/10,3.59,45.69,0.94,58803807,965115809,16.35,16.50,16.25,16.45,+0.20,8531,1
108/12/11,3.63,45.14,0.93,60175139,979170544,16.40,16.50,16.15,16.25,-0.20,8878,0
108/12/12,3.55,46.11,0.95,155933102,2587244586,16.30,16.75,16.30,16.60,+0.35,21972,1
108/12/13,3.55,46.11,0.95,81741040,1352394433,16.65,16.80,16.40,16.60,0.00,10896,0
108/12/16,3.54,46.25,0.95,72127831,1200006803,16.55,16.85,16.40,16.65,+0.05,12042,1
108/12/17,3.47,47.22,0.97,96263795,1630601017,16.85,17.05,16.70,17.00,+0.35,16307,1
108/12/18,3.51,46.67,0.96,73543943,1236158680,16.90,16.95,16.70,16.80,-0.20,14959,0
108/12/19,3.53,46.39,0.96,57550348,956550284,16.80,16.80,16.45,16.70,-0.10,7788,0
108/12/20,3.53,46.39,0.96,47379813,789487914,16.75,16.80,16.55,16.70,0.00,5822,0
108/12/23,3.56,45.97,0.95,30998466,514237539,16.70,16.70,16.50,16.55,-0.15,4863,0
108/12/24,3.56,45.97,0.95,25642208,425794630,16.60,16.70,16.50,16.55,0.00,5016,0
108/12/25,3.54,46.25,0.95,19272385,320328835,16.60,16.75,16.55,16.65,+0.10,4818,1
108/12/26,3.56,45.97,0.95,26143849,431298141,16.65,16.65,16.40,16.55,-0.10,5315,0
108/12/27,3.53,46.39,0.96,31725795,528517252,16.60,16.75,16.55,16.70,+0.15,4990,1
108/12/30,3.56,45.97,0.95,46454365,767499989,16.65,16.70,16.45,16.55,-0.15,5060,0
108/12/31,3.59,45.69,0.94,30478470,503012569,16.50,16.60,16.40,16.45,-0.10,4598,0
109/01/02,3.56,45.97,0.95,32937461,544863192,16.45,16.65,16.40,16.55,+0.10,5382,1
109/01/03,3.62,45.28,0.93,48588354,792990409,16.55,16.55,16.15,16.30,-0.25,9541,0
109/01/06,3.68,44.58,0.92,44790472,719002202,16.05,16.15,15.95,16.05,-0.25,5041,0
109/01/07,3.69,44.44,0.92,39718117,633334895,16.05,16.15,15.80,16.00,-0.05,7401,0
109/01/08,3.75,43.75,0.90,60494690,954618728,15.85,15.90,15.65,15.75,-0.25,9368,0
109/01/09,3.68,44.58,0.92,43816080,704460863,15.85,16.15,15.85,16.05,+0.30,7346,1
109/01/10,3.65,44.86,0.92,32386886,521334693,16.20,16.25,15.85,16.15,+0.10,5239,1
109/01/13,3.68,44.58,0.92,23989283,386198437,16.15,16.20,16.05,16.05,-0.10,4260,0
109/01/14,3.63,45.14,0.93,61290528,997160931,16.10,16.40,16.05,16.25,+0.20,9826,1
109/01/15,3.65,44.86,0.92,36473736,592044792,16.30,16.40,16.10,16.15,-0.10,7113,0
109/01/16,3.65,44.86,0.92,27867646,447303962,16.20,16.20,16.00,16.15,0.00,5258,0
109/01/17,3.69,44.44,0.92,28877214,462551691,16.15,16.15,15.95,16.00,-0.15,4528,0
109/01/20,3.68,44.58,0.92,31117744,498489704,15.85,16.15,15.85,16.05,+0.05,5326,1
109/01/30,3.91,41.94,0.86,137855301,2092322215,15.50,15.55,14.95,15.10,-0.95,15447,0
109/01/31,3.96,41.39,0.85,68549345,1027195504,15.05,15.20,14.80,14.90,-0.20,8733,0
109/02/03,3.93,41.67,0.86,75652825,1102172270,14.45,15.00,14.15,15.00,+0.10,8488,1
109/02/04,3.88,42.22,0.87,70790085,1072651052,15.00,15.30,14.90,15.20,+0.20,8638,1
109/02/05,3.81,43.06,0.89,77032246,1194091132,15.25,15.70,15.25,15.50,+0.30,12981,1
109/02/06,3.63,45.14,0.93,157712052,2541901176,15.80,16.35,15.75,16.25,+0.75,15950,1
109/02/07,3.61,45.42,0.94,80109163,1308858525,16.20,16.50,16.15,16.35,+0.10,11177,1
109/02/10,3.60,45.56,0.94,44206055,722024768,16.15,16.55,16.00,16.40,+0.05,8851,1
109/02/11,3.53,46.39,0.96,84802688,1418808521,16.55,16.90,16.50,16.70,+0.30,10797,1
109/02/12,3.49,46.94,0.97,79548774,1338051389,16.65,16.95,16.60,16.90,+0.20,13223,1
109/02/13,3.50,46.81,0.96,73179317,1236884767,17.00,17.15,16.65,16.85,-0.05,12391,0
109/02/14,3.58,45.83,0.94,43506095,721482510,16.60,16.70,16.50,16.50,-0.35,7526,0
109/02/17,3.60,45.56,0.94,40030219,658937270,16.50,16.55,16.35,16.40,-0.10,5838,0
109/02/18,3.65,44.86,0.92,44154247,716631239,16.40,16.40,16.10,16.15,-0.25,9586,0
109/02/19,3.66,44.72,0.92,30092840,485861725,16.10,16.25,16.05,16.10,-0.05,8092,0
109/02/20,3.62,45.28,0.93,43133196,701982634,16.25,16.50,16.10,16.30,+0.20,7680,1
