,volume,price,open,high,low,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2764,49404909,1456925439,29.6,29.8,29.25,28.72,15984,73.71769931,69.16027888,60.04543801,59.791970778815454,67.59695074612468,0.08956177392842,-16.216216216216242,-16.216216216216242,1
2765,251281529,7692063594,30.1,31.25,29.85,28.95,75280,76.54239315,71.62098363,61.77816461,68.07652029054887,79.91532779840635,0.1449442479187981,0.0,0.0,1
2766,138389753,4245197417,31.2,31.4,30.1,29.145,43657,73.39668315,72.21288347,69.84528412,62.30011724027536,67.34676971225994,0.2004678908178086,-40.90909090909112,-16.98113207547179,1
2767,77192124,2319106113,30.35,30.4,29.7,29.325,26066,71.29954315,71.9084367,73.12622379,62.30011724027534,67.34676971225994,0.2527124676709584,-40.90909090909112,-16.98113207547179,1
2768,103267162,3177009640,30.3,31.2,30.1,29.604999999999997,32794,79.11197614,74.30961651,64.70489726,69.58618485818268,78.63621915472633,0.3163391963237542,0.0,0.0,1
2769,459437362,15173450459,31.8,34.3,31.8,30.234999999999996,123198,86.07465076,78.23129459,62.54458226,81.31429051914185,90.39786453709957,0.4325023074029079,0.0,0.0,1
2770,544978308,19296254013,34.5,36.8,34.3,30.925,155442,82.16380226,79.54213048,74.29878693,82.62210969341682,91.40527030121471,0.5832939114849672,0.0,0.0,1
2771,302798891,10754305948,35.8,37.0,33.35,31.420000000000005,95374,75.42102946,78.16843014,83.6632315,74.30149101130773,77.25756066039276,0.7337922614825285,-17.021276595744762,-14.95327102803746,1
2772,257659341,8795911231,35.1,35.5,32.3,31.919999999999998,81410,74.15165405,76.82950478,82.18520623,76.71928662294559,80.6303498676316,0.8865107842785785,-1.3698630136987462,-0.9345794392524158,1
2773,134089922,4557513751,34.5,34.5,33.3,32.37,44026,69.52576023,74.39492326,84.13324932,69.96156019652348,69.14530097161258,1.019426482484307,-93.7499999999995,-14.018691588785044,1
2774,194149647,6869974203,34.55,35.85,34.5,33.0,60183,74.2043881,74.33141154,74.58545843,75.68347223890402,78.19630163809035,1.1577615213087165,0.0,0.0,1
2775,204271263,7526916890,36.7,37.75,36.0,33.540000000000006,66105,75.55654859,74.73979056,73.1062745,76.26848196292116,79.06335282507364,1.2927936570125942,0.0,0.0,1
2776,129419070,4756300070,36.1,37.25,35.65,34.195,41706,79.12920233,76.20292782,70.35037879,78.2802464901479,82.05970846252718,1.426898542263257,0.0,0.0,1
2777,131737765,4835621414,36.8,37.45,36.15,34.825,46042,78.80322172,77.06969245,73.60263391,75.75728465923449,77.31743208983434,1.546151450812696,-9.61538461538461,-4.545454545454543,1
2778,206539416,7285243446,36.9,36.95,33.05,35.13,76270,64.46208665,72.86715718,89.67729825,57.7424885874609,48.01524830200496,1.611220286563762,-100.0,-92.45283018867916,1
2779,103182290,3650313762,34.7,35.95,34.65,35.265,35625,63.46402107,69.73277848,82.2702933,63.77277641571549,59.68321248061946,1.6575804647002612,-42.85714285714298,-39.62264150943404,1
2780,206067505,7736863236,36.9,38.4,36.8,35.519999999999996,67155,70.17819984,69.88125227,69.28735712,69.71517628443155,69.83799418006824,1.7139264082935226,0.0,0.0,1
2781,171932936,6546612290,38.0,38.6,37.5,35.964999999999996,57600,79.51819929,73.09356794,60.24430524,72.80008099358427,74.65346869281284,1.78722096132193,0.0,0.0,1
2782,151224781,5745413655,38.75,38.9,37.3,36.230000000000004,57729,78.08335793,74.75683127,68.10377795,65.76599903455619,63.1118293797111,1.846470777971284,-24.70588235294111,-23.863636363636303,1
2783,123741804,4478242747,37.45,37.6,35.7,36.39,47267,67.15528705,72.2229832,82.35837549,55.86930264614004,48.20619785274663,1.8616829443297065,-98.24561403508756,-65.8823529411764,1
2784,117840314,4039034650,35.6,35.6,33.5,36.16,41057,47.33429393,63.92675344,97.11167246,46.245703350357445,35.54265216158552,1.809152850629829,-100.0,-100.0,1
2785,132278953,4388190189,34.3,34.75,31.1,35.925,49257,42.45363185,56.76904625,85.39987504,46.93129268584366,36.89890042224522,1.7151866721172684,-97.00000000000004,-97.00000000000004,1
2786,107313721,3497560828,33.85,34.1,31.4,35.394999999999996,40912,29.58447252,47.70752167,83.95361998,38.77199214927773,26.762801502589472,1.5603683274740725,-100.0,-100.0,0
2787,101767635,3198118007,31.65,32.45,30.65,34.835,33350,20.53106249,38.64870194,74.88398086,37.04042540715631,24.7671067763502,1.363193533630635,-100.0,-100.0,0
2788,109972508,3666699152,32.7,33.9,32.5,34.8,34365,26.81868812,34.705364,50.47871576,50.52010877471805,49.7182833246778,1.195360741370565,0.0,-60.1307189542484,1
2789,132823634,4424417308,34.3,34.55,32.65,34.515,41639,26.5659941,31.9922407,42.8447339,46.5649612853317,43.47771592681335,1.034442693078669,-36.06557377049188,-74.50980392156868,1
2790,111384506,3465959860,31.5,31.9,30.0,33.83,38552,19.77058783,27.91835641,44.21389358,39.591029168320006,33.23753121957265,0.8480391222998964,-100.0,-100.0,0
2791,169482590,4891271126,30.5,30.85,27.5,32.805,57392,15.65563941,23.83078408,40.18107341,33.88466292019612,25.787250023439373,0.6168052935649327,-100.0,-100.0,0
2792,123098363,3520684212,27.5,29.8,26.9,31.945,42924,17.90835731,21.85664182,29.75321085,36.510575947658296,30.653276975942145,0.3777612125892546,-89.3805309734513,-91.9463087248322,0
2793,92784588,2719037004,30.1,30.45,28.05,31.220000000000006,35343,18.52064585,20.74464316,25.19263779,35.47726812402363,29.125502001540244,0.1391101419466937,-95.60439560439562,-96.46017699115046,0
2794,101311621,2672293814,25.85,28.05,25.65,30.435000000000002,32642,12.34709723,17.94546119,29.14218909,29.12933516504251,20.530286380602607,-0.131773538782615,-100.0,-100.0,0
2795,77331398,2151306755,27.0,28.2,26.5,29.889999999999997,21075,17.78195995,17.89096078,18.10896242,39.90187099245863,39.91005400432,-0.36767572567329,-20.31250000000005,-69.09090909090908,1
2796,130513321,3746697469,28.95,29.7,27.75,29.635,43058,23.8396587,19.87386008,11.94226286,42.35857053025733,44.08123388806974,-0.5580774297610408,0.0,-61.212121212121176,1
2797,59001922,1686646159,28.5,29.35,28.0,29.354999999999997,22215,24.88186984,21.54319667,14.86585032,40.13726555258149,39.98219862562195,-0.721470702180224,-25.0,-70.90909090909089,1
2798,46755604,1344794396,28.95,29.15,28.4,28.855,15587,33.92124656,25.6692133,9.165146776,43.59435853568873,46.34368943104421,-0.8441646363049862,0.0,-54.54545454545454,1
2799,76245145,2242790862,28.8,30.0,28.4,28.564999999999998,26701,49.85775412,33.73206024,1.480672481,47.51673365222259,53.32763646133599,-0.917038756977576,0.0,-13.265306122449015,1
2800,241006416,7693888142,30.55,32.85,30.2,28.7,72359,62.17368793,43.2126028,5.290432547,54.480535537915074,64.43701135391956,-0.9208676531902352,0.0,0.0,1
2801,122445542,3921876032,32.15,32.8,31.5,29.03,45250,68.7639401,51.72971524,17.6612655,53.12364701964933,61.36939553688477,-0.884704825203323,-9.090909090909042,-5.599999999999966,1
2802,79664607,2484912916,31.5,31.85,30.8,29.264999999999997,26177,71.53707118,58.33216722,31.92235929,51.70705342249464,58.05296264773422,-0.8289392987858991,-23.333333333333307,-11.199999999999989,1
2803,199214639,6694208844,32.45,34.3,32.2,29.805,68457,79.1016372,65.25532388,37.56269724,60.48329603372403,71.86644243867637,-0.7196419791842587,0.0,0.0,1
2804,145203450,4967441182,34.25,34.85,33.4,30.655,53586,82.78137315,71.0973403,47.7292746,61.3577862998283,73.07113566682115,-0.5760949803712075,0.0,0.0,1
2805,180022367,6349215413,35.0,36.4,34.4,31.284999999999997,62594,80.9812329,74.39197117,61.21344771,62.424907622796944,74.59418173095558,-0.4117088344565963,0.0,0.0,1
