date,dividend,PE,netWorth,season
101年04月02日,23.29,3.25,2.73,0
101年04月03日,23.34,3.25,2.73,0
101年04月05日,23.13,3.28,2.71,0
101年04月06日,23.50,3.23,2.75,0
101年04月09日,23.00,3.30,2.69,0
101年04月10日,23.21,3.27,2.72,0
101年04月11日,23.34,3.25,2.73,0
101年04月12日,23.42,3.24,2.74,0
101年04月13日,23.55,3.22,2.76,0
101年04月16日,23.76,3.19,2.78,0
101年04月17日,23.08,3.28,2.70,0
101年04月18日,23.38,3.24,2.74,0
101年04月19日,23.29,3.25,2.73,0
101年04月20日,21.90,3.46,2.57,0
101年04月23日,21.95,3.45,2.57,0
101年04月24日,21.74,3.49,2.55,0
101年04月25日,22.16,3.42,2.60,0
101年04月26日,21.65,3.50,2.54,0
101年04月27日,20.26,3.74,2.37,0
101年04月30日,21.31,3.56,2.47,0
101年05月02日,23.90,3.37,2.60,0
101年05月03日,23.77,3.39,2.59,0
101年05月04日,24.26,3.32,2.64,0
101年05月07日,24.49,3.29,2.67,0
101年05月08日,23.72,3.40,2.58,0
101年05月09日,23.72,3.40,2.58,0
101年05月10日,23.63,3.41,2.57,0
101年05月11日,23.55,3.42,2.56,0
101年05月14日,23.63,3.41,2.57,0
101年05月15日,24.08,3.35,2.62,0
101年05月16日,23.46,3.44,2.55,0
101年05月17日,24.40,3.30,2.66,0
101年05月18日,23.46,3.44,2.55,0
101年05月21日,23.46,3.44,2.55,0
101年05月22日,23.50,3.43,2.56,0
101年05月23日,22.65,3.56,2.47,0
101年05月24日,22.96,3.51,2.50,0
101年05月25日,22.78,3.54,2.48,0
101年05月28日,23.19,3.47,2.52,0
101年05月29日,24.40,3.30,2.66,0
101年05月30日,23.90,3.37,2.60,0
101年05月31日,23.63,3.41,2.57,0
101年06月01日,23.05,3.50,2.51,0
101年06月04日,21.93,3.67,2.39,0
101年06月05日,22.74,3.54,2.48,0
101年06月06日,23.05,3.50,2.51,0
101年06月07日,23.32,3.45,2.54,0
101年06月08日,22.74,3.54,2.48,0
101年06月11日,23.10,3.49,2.52,0
101年06月12日,22.83,3.53,2.49,0
101年06月13日,23.10,3.49,2.52,0
101年06月14日,23.37,3.45,2.54,0
101年06月15日,23.72,3.40,2.58,0
101年06月18日,24.75,3.25,2.70,0
101年06月19日,24.57,3.28,2.68,0
101年06月20日,24.71,3.26,2.69,0
101年06月21日,24.26,3.32,2.64,0
101年06月22日,24.53,3.28,2.67,0
101年06月25日,25.11,3.21,2.73,0
101年06月26日,24.57,3.28,2.68,0
101年06月27日,24.35,3.31,2.65,0
101年06月28日,24.35,3.31,2.65,0
101年06月29日,24.44,3.30,2.66,0
101年07月02日,24.08,3.35,2.62,0
101年07月03日,24.49,3.29,2.67,0
101年07月04日,24.57,3.28,2.68,0
101年07月05日,24.53,3.28,2.67,0
101年07月06日,24.44,3.30,2.66,0
