X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J
158,1999/8/24,2867000,157302800,55.5,55.5,54.3,55.1,-0.1,1411,0,47.8,55.5,94.80519481,87.57684719,79.98374697,64.79754653
159,1999/8/25,2799572,148809228,54.1,54.6,51.5,52,-3.1,1352,1,49.25,55.5,44,73.05123146,77.67290847,86.91626248
160,1999/8/26,2175668,114670940,52.2,53.2,52,52.5,0.5,1250,1,49.5,55.5,50,65.36748764,73.57110152,89.97832929
161,1999/8/27,3648650,197542752,53,55,53,54.8,2.3,1989,0,50,55.5,87.27272727,72.66923418,73.27047908,74.47296886
162,1999/8/30,2449156,133065059,55.6,55.8,53,53.2,-1.6,1526,0,51.3,55.8,42.22222222,62.5202302,69.68706278,84.02072796
163,1999/8/31,1378198,71786666,52.6,52.9,51.5,51.9,-1.3,779,1,51.5,55.8,9.302325581,44.78092866,61.38501808,94.59319691
164,1999/9/1,1979593,103842747,52,53.2,51.6,53,1.1,1047,0,51.5,55.8,34.88372093,41.48185942,54.75063186,81.28817673
165,1999/9/2,1346243,70899207,53.7,53.7,52.3,52.3,-0.7,668,1,51.5,55.8,18.60465116,33.85612333,47.78579568,75.64514038
166,1999/9/3,1141679,60466187,52.6,53.3,52.6,53,0.7,537,1,51.5,55.8,34.88372093,34.19865586,43.25674908,61.3729355
167,1999/9/6,2506597,135817014,53.5,55,53.3,54.3,1.3,1239,0,51.5,55.8,65.11627907,44.50453027,43.67267614,42.00896788
168,1999/9/7,1640306,88096108,54.3,54.4,52.9,53.1,-1.2,776,0,51.5,55.8,37.20930233,42.07278762,43.13937997,45.27256466
169,1999/9/8,1224178,64576634,53.1,53.6,52.2,52.7,-0.4,633,1,51.5,55.8,27.90697674,37.35085066,41.2098702,48.92790927
170,1999/9/9,1427099,75244917,53,53.3,52.2,52.8,0.1,694,1,51.5,55.8,30.23255814,34.97808649,39.13260896,47.44165391
171,1999/9/10,1215200,64643559,53.5,54,52.6,52.9,0.1,620,1,51.5,55,40,36.65205766,38.30575853,41.61316026
