date,dividend,PE,netWorth,volume,price,open,high,low,close,diff,times,result
106/06/29,4.48,19.06,2.59,894682,100479202,113.50,113.50,111.50,111.50,-0.50,709,-1
106/06/30,4.57,18.72,2.55,973156,106896078,110.50,111.50,109.50,109.50,-2.00,697,-1
106/07/03,4.52,18.89,2.57,546507,60323770,110.00,111.00,110.00,110.50,+1.00,408,1
106/07/04,4.52,18.89,2.57,856080,94707300,110.00,111.50,109.50,110.50,0.00,581,-1
106/07/05,4.50,18.97,2.58,964630,106484800,109.50,111.00,109.50,111.00,+0.50,557,1
106/07/06,4.48,19.06,2.59,1017336,113762296,112.00,112.50,111.00,111.50,+0.50,582,1
106/07/07,4.52,18.89,2.57,726748,80994780,111.00,112.00,110.50,110.50,-1.00,513,-1
106/07/10,4.52,18.89,2.57,765670,84420200,110.00,110.50,110.00,110.50,0.00,483,-1
106/07/11,4.44,19.23,2.62,1661184,186094108,110.50,112.50,110.50,112.50,+2.00,1146,1
106/07/12,4.52,18.89,2.57,1435195,159488710,112.50,112.50,110.00,110.50,-2.00,861,-1
106/07/13,4.46,19.15,2.61,839721,93908531,110.50,112.50,110.50,112.00,+1.50,523,1
106/07/14,4.42,19.32,2.63,1472864,166459268,112.00,113.50,112.00,113.00,+1.00,784,1
106/07/17,4.39,19.49,2.65,1288754,147249571,114.00,115.00,113.50,114.00,+1.00,813,1
